TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
20 agosto 2023 23:12 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
29,29,100.0000,29,100.0000,0,11317,7096,62.7021

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,VIVA,UNE,VALOR,MLP,TODOS,PODEMOS,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12827,"Retalhuleu",11,"San Martín Zapotitlán",4,1748,400,92,93,0,18,2,0,1,3,5,214,18,0,232,0,232,--,400,168,214,232,232,Algún campo sin dato,1,8cc261735efc1d0699de26f2e5b57d2b4ede712b49fbffdbb89c49cc2f476bde,20/08/2023 21:28:38,ESCANER
12828,"Retalhuleu",11,"San Martín Zapotitlán",4,1748,400,99,80,1,12,2,1,1,0,11,207,10,0,217,0,217,--,400,183,207,217,217,Algún campo sin dato,1,f76c5ca8d245b9e0074178b4dfade840c7d4f1da4d5ab029ced456674317221b,20/08/2023 20:49:17,ESCANER
12829,"Retalhuleu",11,"San Martín Zapotitlán",4,1748,400,84,101,1,15,3,0,0,2,2,208,22,1,231,0,231,--,400,169,208,231,231,Algún campo sin dato,1,96127a6955f1be4e8ad5a37933c7b4b6c1741860fb2e73f73b09113d6e1fd896,20/08/2023 21:43:31,ESCANER
12830,"Retalhuleu",11,"San Martín Zapotitlán",4,1749,400,75,92,2,26,2,1,1,0,4,203,11,3,217,0,217,--,400,183,203,217,217,Algún campo sin dato,1,64916e99fafce78f7311c7e6fbcdba898d8fdaeeb17c7a0a1e8ef663e374146b,20/08/2023 20:18:35,ESCANER
12831,"Retalhuleu",11,"San Martín Zapotitlán",4,1749,400,99,115,1,19,5,0,2,2,2,245,8,2,255,0,255,--,400,145,245,255,255,Algún campo sin dato,1,d96be2eb04bf51a786cb35b41ad4e4767d8b47cba984a7f60f9ef12dbc901464,20/08/2023 20:46:02,ESCANER
12832,"Retalhuleu",11,"San Martín Zapotitlán",4,1749,400,93,123,0,26,2,0,1,2,4,251,5,0,256,0,256,--,400,144,251,256,256,Algún campo sin dato,1,d4058e52c58708518ab5e98d2e9dd4799190fd6319ab6d471884fc1507a9a974,20/08/2023 22:25:55,ESCANER
12833,"Retalhuleu",11,"San Martín Zapotitlán",4,1749,400,105,112,0,32,2,0,0,0,5,256,9,1,266,0,266,--,400,134,256,266,266,Algún campo sin dato,1,5fbb9dedcd82bacbb6fc578cf7e46a320a4b27cd7dd521cec8263eb9a7573179,20/08/2023 20:05:43,ESCANER
12834,"Retalhuleu",11,"San Martín Zapotitlán",4,1750,400,58,99,0,10,1,1,0,2,4,175,10,2,187,0,187,--,400,213,175,187,187,Algún campo sin dato,1,db43f21a8316302b9abfa314e9b8cd292ae953e63f5e8064d52af05c730f16f1,20/08/2023 20:45:28,ESCANER
12835,"Retalhuleu",11,"San Martín Zapotitlán",4,1750,400,98,119,0,23,1,0,1,0,3,245,12,2,259,0,259,--,400,141,245,259,259,Algún campo sin dato,1,c58741978149f6fc46d2277bc6189def3157cb7566b02bde873ce3dc46effe54,20/08/2023 20:36:56,ESCANER
12836,"Retalhuleu",11,"San Martín Zapotitlán",4,1750,400,128,120,1,35,2,0,0,0,2,288,7,0,295,0,295,2,400,105,288,295,295,,1,1ea3ab4e866a1835a8b57784757a40aa03bd6bd28115b8562b0060d3e2ce9695,20/08/2023 21:21:34,ESCANER
12837,"Retalhuleu",11,"San Martín Zapotitlán",4,1750,400,98,142,0,24,4,0,3,2,0,273,5,1,279,0,279,--,400,121,273,279,279,Algún campo sin dato,1,cd11ee376c84979b1c2f9847657eae9222a5df5db12ce87efd436211be9165fe,20/08/2023 21:30:17,ESCANER
12838,"Retalhuleu",11,"San Martín Zapotitlán",4,1751,400,48,125,1,13,3,0,0,0,0,190,7,0,197,0,197,--,400,203,190,197,197,Algún campo sin dato,1,a1acc3f465447a236e7f149d41f3d74c7252b10fe460f6ac08b607027a579496,20/08/2023 20:09:11,ESCANER
12839,"Retalhuleu",11,"San Martín Zapotitlán",4,1751,259,54,69,0,13,1,0,1,1,1,140,4,1,145,0,145,--,259,114,140,145,145,Algún campo sin dato,1,11d88254b40f98c3d9392ce8844e5994ccd6c11489074e53b03be041c9f90c4e,20/08/2023 20:24:07,ESCANER
12840,"Retalhuleu",11,"San Martín Zapotitlán",4,1751,258,31,61,0,10,0,0,2,2,4,110,6,0,116,0,116,--,258,142,110,116,116,Algún campo sin dato,1,875f9eb5f6df6d37f99186ee1eea8e74d65cfcf3eb3d3b354071f75b3ebbd0f1,20/08/2023 20:06:13,ESCANER
